id,nombre,provincia,localidad,barrio,ubicacion,recomendado,cerrado,categoria,momento_dia,precio,comida,lugar,atencion,nota_final,resena,visitas,distincion
1,Saint Gallen,Córdoba,Córdoba Capital,General Paz,"-31.414259993935744, -64.16907546009868",,,Fancy,Cena,$$$,7.5,8.0,8.5,7.88,"Muy buena coctelería y barra recomendable. El lugar está lindo, con una decoración particular que no molesta para disfrutarlo. La atención es excelente. La comida no es mala, pero viene bajando de nivel visita tras visita — al principio estaba mejor que ahora.",3,
2,La Capke,Córdoba,Córdoba Capital,General Paz,"-31.41434857507698, -64.16546849091283",,,Café/Confitería,Merienda,$$$$,9.0,9.0,7.5,8.63,"Comida muy rica, café de buena calidad. Lugar limpio y ordenado. La atención es lo más flojo: tarda tanto en preparar la mesa como en tomar y traer el pedido.",1,
3,Club de la milanesa,Córdoba,Córdoba Capital,General Paz,"-31.414390920079267, -64.16869796392872",,,Familiar,Cena,$$$,7.5,7.0,7.5,7.38,"Franquicia previsible: vas, comés una milanesa y listo. Comida normal, sin nada que destacar pero tampoco mal sabor. Lugar un tanto oscuro, en la media. No es un lugar que enamore, pero cumple sin sorprender — podés ir veinte veces y mantiene siempre esa calidad media.",1,
4,Pizzería popular,Córdoba,Córdoba Capital,General Paz,"-31.416946979765815, -64.1698821732995",,,Familiar,Cena,$$$,8.5,8.0,7.5,8.13,"Pizza muy rica, gran variedad de opciones — recomendable pedir el borde relleno si lo ofrecen, cambia la experiencia. El lugar está bueno para aprovechar en verano o una noche de primavera sentados afuera. Atención normal, cumple sin ser espectacular.",1,
5,Filo street food,Córdoba,Córdoba Capital,General Paz,"-31.418325237089753, -64.17068099091266",,,Fancy,Cena,$$$,8.75,8.0,7.5,8.25,"El concepto de ""comida de calle del mundo"" está muy bien trabajado, comida muy buena aunque le faltó un factor sorpresa para llegar más alto. Conviene comer en la barra: ahí se ve el armado de los pedidos, más disfrutable y fiel a la experiencia callejera (las mesas/sillones son algo incómodas). Atención normal, cumple. Un lugar para volver hasta probar la carta completa.",1,
6,Questa milanga,Córdoba,Córdoba Capital,General Paz,"-31.416901067178088, -64.17017373324067",,,Bar/Vinoteca,Cena,$$,6.5,6.5,6.5,6.5,"Más un bar para tomar una birra que otra cosa. La comida es toda frita/apanada, no da para mucho más que eso. Cumple sin sorprender — un lugar para ir sin reserva y zafar una salida improvisada.",1,
7,Lo del armenio,Córdoba,Córdoba Capital,General Paz,"-31.407509209553968, -64.16497455043732",,,Bodegón,Cena,$$,7.75,6.0,6.0,6.88,"Comida rica, quizás algo sobrecondimentada. Un lugar para ir y retirar la comida más que para quedarse: carece de concepto/experiencia, como si hubieran puesto unas mesas y no mucho más. El local no es feo, pero está demasiado liso y blanco, tipo local a estrenar.",1,
8,Pizza Zeta,Córdoba,Córdoba Capital,General Paz,"-31.414719363346137, -64.16544187927273",,,Bodegón,Cena,$$$,7.5,7.0,7.0,7.25,"Pizza muy rica. Al igual que Questa milanga, es un lugar al que se va de improvisado. Cumple sin sorprender.",1,
9,San Pietro,Córdoba,Córdoba Capital,General Paz,"-31.41487149519991, -64.16423994858488",1,,Fancy,Cena,$$$$,9.0,9.0,9.0,9,"El mejor lugar de Córdoba. La comida es espectacular, no decepcionó ni una vez — sorprende cada vez que van. Lugar y atención a la altura. Para ir cada vez que se pueda. Recomiendan siempre pedir pastas.",3,
10,Ribeca,Córdoba,Córdoba Capital,General Paz,"-31.415825777383173, -64.17335037742077",,,Familiar,Cena,$$$,7.75,7.0,7.0,7.38,Al igual que Questa milanga y Pizza Zeta: cumple pero no sorprende.,1,
